series id,county,state,10y_change,county_state
ATNHPIUS46005A,Beadle County, SD,42.50511990486886,"Beadle County,  SD"
ATNHPIUS17019A,Champaign County, IL,17.497120921305175,"Champaign County,  IL"
ATNHPIUS42125A,Washington County, PA,33.23371647509579,"Washington County,  PA"
ATNHPIUS44003A,Kent County, RI,44.18391406864028,"Kent County,  RI"
ATNHPIUS32013A,Humboldt County, NV,51.65888577653283,"Humboldt County,  NV"
ATNHPIUS13069A,Coffee County, GA,27.01060917180013,"Coffee County,  GA"
ATNHPIUS54003A,Berkeley County, WV,42.26965939412965,"Berkeley County,  WV"
ATNHPIUS29051A,Cole County, MO,30.597318163348223,"Cole County,  MO"
ATNHPIUS51001A,Accomack County, VA,19.511769834350474,"Accomack County,  VA"
ATNHPIUS13045A,Carroll County, GA,68.83368911313798,"Carroll County,  GA"
ATNHPIUS42025A,Carbon County, PA,25.522398023900138,"Carbon County,  PA"
ATNHPIUS40119A,Payne County, OK,38.09595997877662,"Payne County,  OK"
ATNHPIUS55057A,Juneau County, WI,31.448489542989925,"Juneau County,  WI"
ATNHPIUS22127A,Winn Parish, LA,15.937674678591392,"Winn Parish,  LA"
ATNHPIUS22045A,Iberia Parish, LA,13.262523324242851,"Iberia Parish,  LA"
ATNHPIUS22083A,Richland Parish, LA,31.582770392968712,"Richland Parish,  LA"
ATNHPIUS22113A,Vermilion Parish, LA,14.39228031754722,"Vermilion Parish,  LA"
ATNHPIUS22007A,Assumption Parish, LA,19.120422801057014,"Assumption Parish,  LA"
ATNHPIUS22011A,Beauregard Parish, LA,25.54792711909164,"Beauregard Parish,  LA"
ATNHPIUS22039A,Evangeline Parish, LA,16.317991631799178,"Evangeline Parish,  LA"
ATNHPIUS22105A,Tangipahoa Parish, LA,16.40928002256541,"Tangipahoa Parish,  LA"
ATNHPIUS01031A,Coffee County, AL,11.553947996997206,"Coffee County,  AL"
ATNHPIUS13029A,Bryan County, GA,34.455104182281524,"Bryan County,  GA"
ATNHPIUS48139A,Ellis County, TX,86.76245536473387,"Ellis County,  TX"
ATNHPIUS22009A,Avoyelles Parish, LA,23.510269019380956,"Avoyelles Parish,  LA"
ATNHPIUS30057A,Madison County, MT,51.08618577966867,"Madison County,  MT"
ATNHPIUS08089A,Otero County, CO,74.1965105601469,"Otero County,  CO"
ATNHPIUS31013A,Box Butte County, NE,43.501529051987774,"Box Butte County,  NE"
