,county,state,total_10,total_20,total_one_10,total_one_20,wh_10,wh_20,bl_10,bl_20,na_10,na_20,as_10,as_20,ha_10,ha_20,o_10,o_20,total_change,total_1_change,wh_change,bl_change,na_change,as_change,ha_change,o_change,Abb,county_state,price_change,wh_p_10,wh_p_20,bl_p_10,bl_p_20,na_p_10,na_p_20,as_p_10,as_p_20,ha_p_10,ha_p_20,o_p_10,o_p_20,wh_p_change_20,bl_p_change_20,na_p_change_20,as_p_change_20,ha_p_change_20,o_p_change_20,adj_price_change,county_size_20,median_p
770,Hardeman County,Tennessee,27253.0,25462.0,26988.0,24772.0,15379.0,14073.0,11281.0,10194.0,61.0,46.0,147.0,162.0,0.0,6.0,120.0,291.0,-6.571753568414486,-8.211056765970062,-8.492099616359972,-9.635670596578318,-24.59016393442623,10.204081632653061,inf,142.5,TN,Hardeman_County_TN,26.681841173495197,56.43048471727883,55.27059932448355,41.39360804315121,40.03613227554788,0.2238285693318167,0.18066137773937632,0.539390158881591,0.6362422433430209,0.0,0.023564527531223,0.4403184970461968,1.1428795852643154,-1.1598853927952817,-1.3574757676033329,-0.04316719159244037,0.0968520844614299,0.023564527531223,0.7025610882181186,-10.068783306105122,medium,96000
771,Hardin County,Iowa,17534.0,16878.0,17343.0,16154.0,16799.0,15465.0,217.0,147.0,42.0,32.0,79.0,91.0,1.0,6.0,205.0,413.0,-3.741302612067982,-6.8557919621749415,-7.940948866003929,-32.25806451612903,-23.809523809523807,15.18987341772152,500.0,101.46341463414635,IA,Hardin_County_IA,32.64772823063308,95.80814417702749,91.62815499466761,1.2375955286871223,0.8709562744400995,0.239534618455572,0.18959592368764072,0.4505532109045284,0.5391634079867283,0.005703205201323143,0.03554923569143263,1.1691570662712445,2.446972390093613,-4.179989182359876,-0.3666392542470228,-0.04993869476793128,0.08861019708219997,0.02984603049010949,1.2778153238223686,-4.102896248967241,small,101800
772,Hardin County,Kentucky,105543.0,110702.0,101798.0,101302.0,84971.0,82959.0,12275.0,12825.0,541.0,490.0,2104.0,2277.0,354.0,421.0,1553.0,2330.0,4.888055105502023,-0.4872394349594295,-2.3678666839274576,4.480651731160896,-9.426987060998151,8.222433460076045,18.926553672316384,50.03219575016098,KY,Hardin_County_KY,32.945175755822376,80.50841836976397,74.93902549186103,11.630330765659494,11.585156546403859,0.5125872866983125,0.44262976278658017,1.993500279506931,2.056873407887843,0.33540831698928397,0.3803002655778577,1.4714381815942317,2.104749688352514,-5.569392877902942,-0.04517421925563525,-0.06995752391173238,0.06337312838091202,0.044891948588573705,0.6333115067582824,-3.8054487237779426,large,164600
773,Hardin County,Ohio,32058.0,30696.0,31642.0,29458.0,30990.0,28650.0,259.0,262.0,52.0,58.0,182.0,169.0,12.0,12.0,147.0,307.0,-4.2485495040239565,-6.902218570254724,-7.55082284607938,1.1583011583011582,11.538461538461538,-7.142857142857142,0.0,108.843537414966,OH,Hardin_County_OH,36.52785193094858,96.6685382743777,93.33463643471462,0.8079106619252605,0.8535314047432889,0.16220600162206003,0.18894970028668231,0.5677210056772101,0.5505603335939536,0.03743215422047539,0.039093041438623924,0.45854388920082356,1.0001303101381287,-3.3339018396630706,0.045620742818028415,0.026743698664622284,-0.017160672083256445,0.0016608872181485337,0.5415864209373051,-0.22277254865174,medium,114400
774,Hardin County,Tennessee,26026.0,26831.0,25634.0,25771.0,24384.0,24468.0,896.0,810.0,79.0,105.0,102.0,148.0,7.0,4.0,166.0,236.0,3.0930607853684777,0.5344464383241008,0.34448818897637795,-9.598214285714286,32.91139240506329,45.09803921568628,-42.857142857142854,42.168674698795186,TN,Hardin_County_TN,22.768793051811915,93.69092446015523,91.19302299578845,3.442711135018827,3.0188960530729383,0.30354261123491894,0.39133837725019566,0.3919157765311611,0.5516007603145615,0.026896180742334585,0.014908128657150311,0.6378237147467917,0.8795795907718683,-2.4979014643667767,-0.42381508194588857,0.08779576601527672,0.1596849837834004,-0.011988052085184274,0.24175587602507664,-13.981831427788403,medium,126500
775,Hardin County,Texas,54635.0,56231.0,53917.0,52815.0,49505.0,48005.0,3193.0,3072.0,217.0,259.0,276.0,411.0,6.0,35.0,720.0,1033.0,2.921204356181935,-2.043882263479051,-3.02999697000303,-3.7895396179141874,19.35483870967742,48.91304347826087,483.3333333333333,43.47222222222222,TX,Hardin_County_TX,43.136380527684864,90.61041456941521,85.37105866870588,5.844239040907842,5.463178673685333,0.39718129404228053,0.4606000248972986,0.5051706781367256,0.7309135530223542,0.01098197126384186,0.06224324660774306,1.317836551661023,1.8370649641656738,-5.239355900709327,-0.381060367222509,0.06341873085501809,0.2257428748856286,0.0512612753439012,0.5192284125046507,6.385756048084545,medium,166600
776,Harford County,Maryland,244826.0,260924.0,238778.0,242425.0,198763.0,190128.0,31058.0,37706.0,614.0,712.0,5826.0,8173.0,199.0,198.0,2318.0,5508.0,6.5752820370385505,1.5273601420566383,-4.344369928004709,21.40511301436023,15.960912052117262,40.284929625815316,-0.5025125628140703,137.61863675582399,MD,Harford_County_MD,22.671888598781546,81.1854133139454,72.86719504530055,12.685744161159354,14.45095123484233,0.2507903572333004,0.2728763931259677,2.3796492202625537,3.1323297205316494,0.08128221675802406,0.07588416550413148,0.9467948665582904,2.1109595131149304,-8.318218268644856,1.7652070736829764,0.022086035892667277,0.7526805002690957,-0.0053980512538925884,1.16416464655664,-14.078735880818773,large,307700
777,Harnett County,North Carolina,114678.0,133568.0,111105.0,121956.0,78300.0,81867.0,23973.0,27417.0,1392.0,1423.0,1029.0,1494.0,139.0,274.0,6272.0,9481.0,16.472209142119674,9.766437154043473,4.555555555555555,14.366161932173696,2.227011494252874,45.18950437317784,97.12230215827337,51.16390306122449,NC,Harnett_County_NC,36.42562505261385,68.27813530058076,61.2923754192621,20.904619892219955,20.526623143267848,1.213833516454769,1.0653749401054144,0.8972950347930728,1.1185313847628175,0.12120895027817019,0.20513895543842836,5.46922687873873,7.098257067561092,-6.985759881318657,-0.377996748952107,-0.14845857634935444,0.22123634996974473,0.08393000516025817,1.6290301888223624,-0.3249994269864658,large,173800
778,Harney County,Oregon,7422.0,7495.0,7201.0,6969.0,6819.0,6566.0,19.0,8.0,232.0,246.0,35.0,36.0,1.0,0.0,95.0,113.0,0.9835623821072488,-3.2217747535064576,-3.7102214400938553,-57.89473684210527,6.0344827586206895,2.857142857142857,-100.0,18.947368421052634,OR,Harney_County_OR,60.365464411107574,91.87550525464833,87.60507004669779,0.2559956884936675,0.1067378252168112,3.125842091080571,3.2821881254169445,0.47157100511991373,0.4803202134756504,0.013473457289140393,0.0,1.2799784424683374,1.5076717811874583,-4.270435207950541,-0.1492578632768563,0.1563460343363734,0.00874920835573667,-0.013473457289140393,0.2276933387191209,23.614839931507255,small,149500
779,Harris County,Georgia,32024.0,34668.0,31548.0,32607.0,25392.0,26353.0,5506.0,5237.0,108.0,122.0,287.0,397.0,17.0,21.0,238.0,477.0,8.25630776917312,3.3567896538607838,3.7846565847511027,-4.885579367962222,12.962962962962962,38.32752613240418,23.52941176470588,100.42016806722688,GA,Harris_County_GA,19.092539175177343,79.29053210092431,76.01534556363217,17.19335498376218,15.106149763470636,0.33724706470147386,0.3519095419406946,0.896202847864102,1.1451482635283259,0.05308518611041718,0.06057459328487366,0.7431926055458407,1.375908618899273,-3.275186537292143,-2.087205220291544,0.014662477239220761,0.2489454156642239,0.0074894071744564805,0.6327160133534324,-17.658085304422976,medium,249100
780,Harris County,Texas,4092459.0,4731145.0,3961127.0,3930990.0,2318256.0,1720356.0,775492.0,907063.0,27763.0,55011.0,253032.0,349268.0,3018.0,4141.0,583566.0,895151.0,15.60641169526683,-0.7608188275710422,-25.790939395821688,16.966132468162147,98.1450131469942,38.033134149040436,37.21007289595759,53.39327513940154,TX,Harris_County_TX,62.33625244264315,56.64701833298758,36.36236048567525,18.94929185606991,19.172166568557927,0.6783940902034694,1.162741788721335,6.1828841779477814,7.382314429170951,0.07374539366185465,0.08752638103461213,14.259544200687166,18.92038819355568,-20.28465784731233,0.22287471248801793,0.4843476985178655,1.1994302512231698,0.013780987372757486,4.660843992868514,25.585627963042832,very_large,203900
781,Harrison County,Indiana,39364.0,39654.0,38980.0,37926.0,38341.0,36967.0,178.0,190.0,88.0,116.0,155.0,189.0,11.0,18.0,207.0,446.0,0.7367137486027843,-2.7039507439712676,-3.583631099866983,6.741573033707865,31.818181818181817,21.935483870967744,63.63636363636363,115.45893719806763,IN,Harrison_County_IN,43.3894331407519,97.40117874199777,93.22388661925658,0.45218981810791586,0.47914460079689314,0.22355451681739658,0.29253038785494523,0.3937607966670054,0.47662278710848843,0.027944314602174572,0.04539264639128461,0.5258611929681943,1.1247289050284963,-4.177292122741193,0.026954782688977275,0.06897587103754865,0.08286199044148301,0.01744833178911004,0.598867712060302,6.638808661151579,medium,162500
782,Harrison County,Iowa,14928.0,14582.0,14802.0,14113.0,14658.0,13922.0,25.0,27.0,43.0,29.0,42.0,50.0,0.0,3.0,34.0,82.0,-2.317792068595927,-4.654776381570058,-5.021148860690408,8.0,-32.55813953488372,19.047619047619047,inf,141.1764705882353,IA,Harrison_County_IA,40.4971932638332,98.19131832797427,95.47387189685914,0.167470525187567,0.18515978603758057,0.28804930332261525,0.19887532574406802,0.28135048231511256,0.34288849266218624,0.0,0.020573309559731173,0.22775991425509112,0.5623371279659855,-2.7174464311151354,0.017689260850013572,-0.08917397757854723,0.06153801034707368,0.020573309559731173,0.33457721371089433,3.7465687842328848,small,134800
783,Harrison County,Kentucky,18846.0,18692.0,18625.0,17914.0,18037.0,17357.0,385.0,307.0,36.0,34.0,38.0,46.0,11.0,1.0,118.0,169.0,-0.8171495277512468,-3.81744966442953,-3.7700282752120637,-20.259740259740262,-5.555555555555555,21.052631578947366,-90.9090909090909,43.22033898305085,KY,Harrison_County_KY,29.58071970947508,95.70731189642365,92.85790712604323,2.0428738193781175,1.6424138668949282,0.19102196752626552,0.18189599828803768,0.2016342990555025,0.24609458591910977,0.058367823410803356,0.005349882302589343,0.6261275602249814,0.904130109137599,-2.849404770380417,-0.40045995248318933,-0.009125969238227838,0.04446028686360726,-0.05301794110821401,0.27800254891261755,-7.169904770125239,small,168000
784,Harrison County,Ohio,15864.0,14483.0,15608.0,13806.0,15216.0,13456.0,330.0,241.0,16.0,19.0,22.0,40.0,2.0,6.0,22.0,44.0,-8.705244578920828,-11.545361353152229,-11.56677181913775,-26.969696969696972,18.75,81.81818181818183,200.0,100.0,OH,Harrison_County_OH,40.68204077998397,95.91527987897126,92.90892770834772,2.08018154311649,1.6640198853828627,0.10085728693898136,0.13118828971898086,0.13867876954109937,0.2761858730925913,0.01260716086737267,0.0414278809638887,0.13867876954109937,0.30380446040185044,-3.0063521706235434,-0.41616165773362734,0.030331002779999505,0.13750710355149193,0.02882072009651603,0.16512569086075107,3.9314163003836526,small,101700
785,Harrison County,Texas,65631.0,68839.0,64512.0,63843.0,45020.0,43925.0,14398.0,13582.0,447.0,715.0,339.0,491.0,31.0,41.0,4277.0,5089.0,4.887934055553016,-1.037016369047619,-2.4322523322967573,-5.667453813029588,59.95525727069351,44.83775811209439,32.25806451612903,18.985270049099835,TX,Harrison_County_TX,29.626429141185852,68.5956331611586,63.808306337977015,21.93780378174948,19.73009485901887,0.6810805869177675,1.0386554133558012,0.5165242035013942,0.7132584726681096,0.04723377672136642,0.05955926146515784,6.516737517331748,7.392611746248493,-4.787326823181587,-2.2077089227306104,0.35757482643803373,0.19673426916671544,0.012325484743791415,0.8758742289167447,-7.1241953384144665,medium,163900
786,Harrison County,West Virginia,69099.0,65921.0,68030.0,62513.0,66306.0,60334.0,1121.0,1118.0,136.0,157.0,327.0,489.0,16.0,28.0,124.0,387.0,-4.5991982517836725,-8.109657504042335,-9.006726389768648,-0.2676181980374665,15.441176470588236,49.54128440366973,75.0,212.0967741935484,WV,Harrison_County_WV,32.20462672407501,95.95797334259541,91.52470381213877,1.6223100189583062,1.6959694179396552,0.19681905671572672,0.23816386280547927,0.4732340554856076,0.7417969994387221,0.02315518314302667,0.042475083812442166,0.1794526693584567,0.5870663369791114,-4.433269530456641,0.07365939898134899,0.04134480608975255,0.26856294395311453,0.019319900669415496,0.40761366762065465,-4.545997755525306,medium,151700
787,Harrisonburg city,Virginia,48914.0,51814.0,47420.0,46478.0,38371.0,33789.0,3112.0,4218.0,127.0,297.0,1718.0,2116.0,62.0,29.0,4030.0,6029.0,5.92877294844012,-1.9865035849852382,-11.941309843371297,35.53984575835475,133.85826771653544,23.166472642607683,-53.2258064516129,49.602977667493796,VA,Harrisonburg_city_VA,30.18708037285705,78.4458437257227,65.21210483653067,6.362186695015742,8.140656965298954,0.25963936705237767,0.5732041533176362,3.512286870834526,4.083838344848883,0.1267530768287198,0.05596942911182305,8.238949993866788,11.635851314316593,-13.233738889192026,1.7784702702832114,0.3135647862652585,0.571551474014357,-0.07078364771689676,3.396901320449805,-6.563544106743269,medium,218300
